domain,actor,n_high,n_low,n_tie,n_excl_tie,high_win_rate,ci_lo,ci_hi,ci_positive
Religion,DeepSeek V3.2,127,140,0,267,0.4757,0.4165,0.5355,no
Animals,DeepSeek V3.2,139,148,0,287,0.4843,0.4271,0.542,no
Countries,DeepSeek V3.2,126,140,0,266,0.4737,0.4145,0.5336,no
Religion,GPT-5.4 mini,117,111,0,228,0.5132,0.4486,0.5773,no
Animals,GPT-5.4 mini,112,120,0,232,0.4828,0.4193,0.5468,no
Countries,GPT-5.4 mini,113,122,0,235,0.4809,0.4178,0.5445,no
Religion,GLM-5.1,136,137,0,273,0.4982,0.4393,0.5571,no
Animals,GLM-5.1,129,159,0,288,0.4479,0.3915,0.5057,no
Countries,GLM-5.1,134,146,0,280,0.4786,0.4207,0.537,no
Religion,Kimi K2.5,137,165,0,302,0.4536,0.3984,0.51,no
Animals,Kimi K2.5,137,165,0,302,0.4536,0.3984,0.51,no
Countries,Kimi K2.5,128,172,0,300,0.4267,0.372,0.4832,no
Religion,MiMo V2 Pro,138,145,0,283,0.4876,0.43,0.5456,no
Animals,MiMo V2 Pro,132,163,0,295,0.4475,0.3918,0.5045,no
Countries,MiMo V2 Pro,128,156,0,284,0.4507,0.3939,0.5088,no
Religion,Qwen3.5 9B,153,154,0,307,0.4984,0.4428,0.554,no
Animals,Qwen3.5 9B,141,157,0,298,0.4732,0.4172,0.5298,no
Countries,Qwen3.5 9B,137,165,0,302,0.4536,0.3984,0.51,no
Religion,Qwen3.6 Plus,119,142,0,261,0.4559,0.3966,0.5166,no
Animals,Qwen3.6 Plus,124,154,0,278,0.446,0.3887,0.5048,no
Countries,Qwen3.6 Plus,130,140,0,270,0.4815,0.4226,0.5409,no
