task,actor,strong_wins,normal_wins,ties,strong_win_rate,ci_low,ci_high,ci_positive,utility_high_side_win_rate,utility_ci_low,utility_ci_high,utility_ci_positive
Essay writing,GPT-5.4 mini,132,5,23,0.964,,,yes,,,,
Essay writing,Kimi K2.5,128,27,5,0.826,,,yes,,,,
Essay writing,GLM-5.1,123,27,10,0.820,,,yes,,,,
Essay writing,Qwen3.6 Plus,111,32,17,0.776,,,yes,,,,
Essay writing,DeepSeek V3.2,103,32,25,0.763,,,yes,,,,
Essay writing,MiMo V2 Pro,91,61,8,0.599,,,yes,,,,
Essay writing,Qwen3.5 9B,85,65,10,0.567,,,yes,,,,
Translation,DeepSeek V3.2,86,64,10,0.5733,0.4933,0.6497,no,,,,
Translation,GPT-5.4 mini,90,58,12,0.6081,0.5277,0.6831,yes,,,,
Translation,GLM-5.1,107,36,9,0.7483,0.6713,0.8123,yes,,,,
Translation,Kimi K2.5,99,54,7,0.6471,0.5686,0.7183,yes,,,,
Translation,MiMo V2 Pro,77,71,12,0.5203,0.4403,0.5992,no,,,,
Translation,Qwen3.5 9B,77,75,8,0.5066,0.4279,0.5849,no,,,,
Translation,Qwen3.6 Plus,92,49,19,0.6525,0.5708,0.7261,yes,,,,
Incident postmortem,DeepSeek V3.2,104,56,0,0.65,0.5734,0.7196,yes,,,,
Incident postmortem,GPT-5.4 mini,117,43,0,0.7312,0.6577,0.7939,yes,,,,
Incident postmortem,GLM-5.1,109,43,5,0.7171,0.6408,0.7827,yes,,,,
Incident postmortem,Kimi K2.5,110,46,4,0.7051,0.6293,0.7711,yes,,,,
Incident postmortem,MiMo V2 Pro,93,66,1,0.5849,0.5072,0.6586,yes,,,,
Incident postmortem,Qwen3.5 9B,84,75,1,0.5283,0.451,0.6043,no,,,,
Incident postmortem,Qwen3.6 Plus,110,50,0,0.6875,0.612,0.7542,yes,,,,
Grant abstract,DeepSeek V3.2,136,24,0,0.85,0.7865,0.8971,yes,,,,
Grant abstract,GPT-5.4 mini,113,47,0,0.7063,0.6315,0.7713,yes,,,,
Grant abstract,GLM-5.1,123,24,0,0.8367,0.7686,0.8878,yes,,,,
Grant abstract,Kimi K2.5,119,38,3,0.758,0.6853,0.8183,yes,,,,
Grant abstract,MiMo V2 Pro,111,49,0,0.6937,0.6185,0.7599,yes,,,,
Grant abstract,Qwen3.5 9B,87,73,0,0.5437,0.4664,0.619,no,,,,
Grant abstract,Qwen3.6 Plus,114,46,0,0.7125,0.638,0.777,yes,,,,
