pair_uid,judge_index,vote_raw,winner_condition,success
highlow_main:essay:deepseek-v3.2-or:religions:0:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:0:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:0:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:0:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:0:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:0:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:1:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:1:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:1:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:1:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:1:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:1:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:2:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:2:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:2:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:2:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:2:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:2:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:3:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:3:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:3:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:3:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:3:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:3:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:4:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:4:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:4:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:4:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:4:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:4:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:5:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:5:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:5:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:5:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:5:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:5:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:6:0,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:6:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:6:0,3,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:6:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:6:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:6:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:7:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:8:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:8:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:8:0,3,X,low,true
