actor,domain,option_a_id,option_b_id,probability_a,count_a,count_b,total_responses,split
deepseek-v3.2-or,religions,0,51,0.15,3,17,20,train
deepseek-v3.2-or,religions,0,59,0.35,7,13,20,train
deepseek-v3.2-or,religions,1,158,0.15,3,17,20,train
deepseek-v3.2-or,religions,1,167,0.1,2,18,20,train
deepseek-v3.2-or,religions,2,40,0.05,1,19,20,train
deepseek-v3.2-or,religions,2,108,0.05,1,19,20,train
deepseek-v3.2-or,religions,3,49,0,0,20,20,train
deepseek-v3.2-or,religions,3,121,0.15,3,17,20,train
deepseek-v3.2-or,religions,4,36,0.3,6,14,20,train
deepseek-v3.2-or,religions,4,77,0.1,2,18,20,train
deepseek-v3.2-or,religions,5,74,0.1,2,18,20,train
deepseek-v3.2-or,religions,5,61,0.3,6,14,20,train
deepseek-v3.2-or,religions,6,65,0,0,20,20,train
deepseek-v3.2-or,religions,6,9,0.05,1,19,20,train
deepseek-v3.2-or,religions,7,80,0.15,3,17,20,train
deepseek-v3.2-or,religions,7,110,0.15,3,17,20,train
deepseek-v3.2-or,religions,8,60,0.7,14,6,20,train
deepseek-v3.2-or,religions,9,135,0,0,20,20,train
deepseek-v3.2-or,religions,10,83,0.15,3,17,20,train
deepseek-v3.2-or,religions,10,21,0,0,20,20,train
deepseek-v3.2-or,religions,11,90,0.85,17,3,20,train
deepseek-v3.2-or,religions,11,28,0.85,17,3,20,train
deepseek-v3.2-or,religions,12,43,0.3,6,14,20,train
deepseek-v3.2-or,religions,12,33,0.9,18,2,20,train
deepseek-v3.2-or,religions,13,35,0.95,19,1,20,train
deepseek-v3.2-or,religions,13,111,0.15,3,17,20,train
deepseek-v3.2-or,religions,14,86,0.9,18,2,20,train
deepseek-v3.2-or,religions,14,145,0.85,17,3,20,train
deepseek-v3.2-or,religions,15,105,0.15,3,17,20,train
deepseek-v3.2-or,religions,15,24,0,0,20,20,train
deepseek-v3.2-or,religions,16,134,0,0,20,20,train
deepseek-v3.2-or,religions,16,33,0.85,17,3,20,train
deepseek-v3.2-or,religions,17,68,0.85,17,3,20,train
deepseek-v3.2-or,religions,17,89,0.8,16,4,20,train
deepseek-v3.2-or,religions,18,78,0.2,4,16,20,train
deepseek-v3.2-or,religions,18,164,0.1,2,18,20,train
deepseek-v3.2-or,religions,19,58,0.95,19,1,20,train
deepseek-v3.2-or,religions,20,157,0.75,15,5,20,train
deepseek-v3.2-or,religions,20,54,0,0,20,20,train
deepseek-v3.2-or,religions,21,93,0.95,19,1,20,train
deepseek-v3.2-or,religions,22,165,0.35,7,13,20,train
deepseek-v3.2-or,religions,22,59,0.85,17,3,20,train
deepseek-v3.2-or,religions,23,44,0.8,16,4,20,train
deepseek-v3.2-or,religions,23,71,0.95,19,1,20,train
deepseek-v3.2-or,religions,24,39,0.95,19,1,20,train
deepseek-v3.2-or,religions,25,88,0.95,19,1,20,train
deepseek-v3.2-or,religions,25,39,0.9,18,2,20,train
deepseek-v3.2-or,religions,26,31,0.9,18,2,20,train
deepseek-v3.2-or,religions,26,143,0.9,18,2,20,train
deepseek-v3.2-or,religions,27,29,0.85,17,3,20,train
deepseek-v3.2-or,religions,28,103,0.15,3,17,20,train
deepseek-v3.2-or,religions,29,48,0,0,20,20,train
deepseek-v3.2-or,religions,30,61,0.15,3,17,20,train
deepseek-v3.2-or,religions,30,124,0.2,4,16,20,train
deepseek-v3.2-or,religions,32,124,0.25,5,15,20,train
deepseek-v3.2-or,religions,32,89,0.25,5,15,20,train
deepseek-v3.2-or,religions,34,142,0.75,15,5,20,train
deepseek-v3.2-or,religions,34,72,0.1,2,18,20,train
deepseek-v3.2-or,religions,35,136,0,0,20,20,train
deepseek-v3.2-or,religions,36,42,0,0,20,20,train
deepseek-v3.2-or,religions,37,79,0.15,3,17,20,train
deepseek-v3.2-or,religions,37,142,0.8,16,4,20,train
deepseek-v3.2-or,religions,38,132,0.2,4,16,20,train
deepseek-v3.2-or,religions,38,161,0.15,3,17,20,train
deepseek-v3.2-or,religions,40,152,0.75,15,5,20,train
deepseek-v3.2-or,religions,41,46,0,0,20,20,train
deepseek-v3.2-or,religions,41,116,0.7,14,6,20,train
deepseek-v3.2-or,religions,42,157,0.3,6,14,20,train
deepseek-v3.2-or,religions,43,145,0.85,17,3,20,train
deepseek-v3.2-or,religions,44,63,1,20,0,20,train
deepseek-v3.2-or,religions,45,126,0.8,16,4,20,train
deepseek-v3.2-or,religions,46,112,0.75,15,5,20,train
deepseek-v3.2-or,religions,47,75,0.45,9,11,20,train
deepseek-v3.2-or,religions,48,159,1,20,0,20,train
deepseek-v3.2-or,religions,49,53,0,0,20,20,train
deepseek-v3.2-or,religions,50,56,1,20,0,20,train
deepseek-v3.2-or,religions,51,156,0.95,19,1,20,train
deepseek-v3.2-or,religions,52,63,0.95,19,1,20,train
deepseek-v3.2-or,religions,52,129,0.95,19,1,20,train
deepseek-v3.2-or,religions,53,104,1,20,0,20,train
deepseek-v3.2-or,religions,54,150,0.85,17,3,20,train
deepseek-v3.2-or,religions,55,122,0.95,19,1,20,train
deepseek-v3.2-or,religions,56,101,0.4,8,12,20,train
deepseek-v3.2-or,religions,57,98,0.05,1,19,20,train
deepseek-v3.2-or,religions,57,58,0,0,20,20,train
deepseek-v3.2-or,religions,62,165,0.05,1,19,20,train
deepseek-v3.2-or,religions,62,85,0.9,18,2,20,train
deepseek-v3.2-or,religions,64,125,0.1,2,18,20,train
deepseek-v3.2-or,religions,64,100,0.1,2,18,20,train
deepseek-v3.2-or,religions,65,140,0.75,15,5,20,train
deepseek-v3.2-or,religions,66,129,0.05,1,19,20,train
deepseek-v3.2-or,religions,66,136,0,0,20,20,train
deepseek-v3.2-or,religions,67,154,0.1,2,18,20,train
deepseek-v3.2-or,religions,68,164,0.05,1,19,20,train
deepseek-v3.2-or,religions,69,113,0.85,17,3,20,train
deepseek-v3.2-or,religions,69,73,0,0,20,20,train
deepseek-v3.2-or,religions,70,125,0.9,18,2,20,train
deepseek-v3.2-or,religions,70,156,0.15,3,17,20,train
deepseek-v3.2-or,religions,71,81,0,0,20,20,train
deepseek-v3.2-or,religions,73,150,0.9,18,2,20,train
deepseek-v3.2-or,religions,74,126,0.9,18,2,20,train
deepseek-v3.2-or,religions,75,86,0.95,19,1,20,train
deepseek-v3.2-or,religions,76,91,0.95,19,1,20,train
deepseek-v3.2-or,religions,76,155,0.95,19,1,20,train
deepseek-v3.2-or,religions,77,109,0.1,2,18,20,train
deepseek-v3.2-or,religions,78,118,0.85,17,3,20,train
deepseek-v3.2-or,religions,79,95,1,20,0,20,train
deepseek-v3.2-or,religions,80,93,0.9,18,2,20,train
deepseek-v3.2-or,religions,81,135,0.9,18,2,20,train
deepseek-v3.2-or,religions,82,119,0.9,18,2,20,train
deepseek-v3.2-or,religions,82,98,0.85,17,3,20,train
deepseek-v3.2-or,religions,83,152,0.95,19,1,20,train
deepseek-v3.2-or,religions,84,147,0,0,20,20,train
deepseek-v3.2-or,religions,87,100,0,0,20,20,train
deepseek-v3.2-or,religions,87,111,0,0,20,20,train
deepseek-v3.2-or,religions,90,119,0.15,3,17,20,train
deepseek-v3.2-or,religions,91,139,0.1,2,18,20,train
deepseek-v3.2-or,religions,92,114,0.7,14,6,20,train
deepseek-v3.2-or,religions,94,127,0.1,2,18,20,train
deepseek-v3.2-or,religions,95,97,0,0,20,20,train
deepseek-v3.2-or,religions,96,108,0,0,20,20,train
deepseek-v3.2-or,religions,96,102,0,0,20,20,train
deepseek-v3.2-or,religions,97,128,0.05,1,19,20,train
deepseek-v3.2-or,religions,99,138,0.05,1,19,20,train
deepseek-v3.2-or,religions,99,167,0,0,20,20,train
deepseek-v3.2-or,religions,102,106,0,0,20,20,train
deepseek-v3.2-or,religions,104,114,0.65,13,7,20,train
deepseek-v3.2-or,religions,105,141,0.95,19,1,20,train
deepseek-v3.2-or,religions,106,166,0.25,5,15,20,train
deepseek-v3.2-or,religions,107,137,0.1,2,18,20,train
deepseek-v3.2-or,religions,107,143,0.95,19,1,20,train
deepseek-v3.2-or,religions,109,149,0.95,19,1,20,train
deepseek-v3.2-or,religions,110,141,0.95,19,1,20,train
deepseek-v3.2-or,religions,112,130,0,0,20,20,train
deepseek-v3.2-or,religions,113,163,0.1,2,18,20,train
deepseek-v3.2-or,religions,115,134,0,0,20,20,train
deepseek-v3.2-or,religions,115,118,0,0,20,20,train
deepseek-v3.2-or,religions,117,151,0.35,7,13,20,train
deepseek-v3.2-or,religions,117,128,0,0,20,20,train
deepseek-v3.2-or,religions,120,160,0.2,4,16,20,train
deepseek-v3.2-or,religions,120,148,0.95,19,1,20,train
deepseek-v3.2-or,religions,121,138,0,0,20,20,train
deepseek-v3.2-or,religions,123,166,0.1,2,18,20,train
deepseek-v3.2-or,religions,123,133,0,0,20,20,train
deepseek-v3.2-or,religions,127,162,0.25,5,15,20,train
deepseek-v3.2-or,religions,130,161,0.4,8,12,20,train
deepseek-v3.2-or,religions,131,139,0,0,20,20,train
deepseek-v3.2-or,religions,132,163,0.4,8,12,20,train
deepseek-v3.2-or,religions,133,137,0.05,1,19,20,train
deepseek-v3.2-or,religions,140,158,0,0,20,20,train
deepseek-v3.2-or,religions,147,148,0,0,20,20,train
deepseek-v3.2-or,religions,153,155,0.05,1,19,20,train
deepseek-v3.2-or,religions,159,160,0,0,20,20,train
deepseek-v3.2-or,religions,1,155,0.05,1,19,20,train
deepseek-v3.2-or,religions,64,119,0.65,13,7,20,train
deepseek-v3.2-or,religions,42,87,1,20,0,20,train
deepseek-v3.2-or,religions,66,166,0,0,20,20,train
deepseek-v3.2-or,religions,142,149,0,0,20,20,train
deepseek-v3.2-or,religions,103,106,0,0,20,20,train
deepseek-v3.2-or,religions,72,138,0,0,20,20,train
deepseek-v3.2-or,religions,43,82,0.15,3,17,20,train
deepseek-v3.2-or,religions,58,166,0.05,1,19,20,train
deepseek-v3.2-or,religions,16,81,0.15,3,17,20,train
deepseek-v3.2-or,religions,44,138,0.15,3,17,20,train
deepseek-v3.2-or,religions,76,159,1,20,0,20,train
deepseek-v3.2-or,religions,12,141,0.75,15,5,20,train
